loc,ts,tempC,humidity,pressure,windGustKmph,precipMM,weatherDescValue
Jammu & Kashmir,2018-09-12 00:00:00,24,80,1007,12,0.0,Clear
Jammu & Kashmir,2018-09-12 03:00:00,23,77,1005,9,0.0,Cloudy
Jammu & Kashmir,2018-09-12 06:00:00,25,64,1006,15,0.7,Moderate rain at times
Jammu & Kashmir,2018-09-12 09:00:00,29,55,1006,18,0.2,Patchy rain possible
Jammu & Kashmir,2018-09-12 12:00:00,31,51,1004,23,0.0,Sunny
Jammu & Kashmir,2018-09-12 15:00:00,32,56,1003,18,0.1,Patchy rain possible
Jammu & Kashmir,2018-09-12 18:00:00,28,68,1003,19,0.1,Patchy rain possible
Jammu & Kashmir,2018-09-12 21:00:00,26,70,1004,14,0.0,Clear
Jammu & Kashmir,2018-09-13 00:00:00,23,74,1004,14,0.2,Patchy rain possible
Jammu & Kashmir,2018-09-13 03:00:00,23,72,1003,16,0.1,Patchy rain possible
Jammu & Kashmir,2018-09-13 06:00:00,25,62,1004,12,1.1,Heavy rain at times
Jammu & Kashmir,2018-09-13 09:00:00,27,54,1005,20,0.0,Cloudy
Jammu & Kashmir,2018-09-13 12:00:00,30,50,1004,13,0.0,Sunny
Jammu & Kashmir,2018-09-13 15:00:00,30,59,1003,16,0.0,Cloudy
Jammu & Kashmir,2018-09-13 18:00:00,27,64,1004,18,0.0,Clear
Jammu & Kashmir,2018-09-13 21:00:00,24,69,1005,11,0.0,Clear
Jammu & Kashmir,2018-09-14 00:00:00,22,69,1006,17,0.0,Clear
Jammu & Kashmir,2018-09-14 03:00:00,21,66,1006,12,0.1,Patchy rain possible
Jammu & Kashmir,2018-09-14 06:00:00,23,56,1007,7,0.0,Sunny
Jammu & Kashmir,2018-09-14 09:00:00,28,44,1009,15,0.0,Sunny
Jammu & Kashmir,2018-09-14 12:00:00,31,39,1008,17,0.0,Sunny
Jammu & Kashmir,2018-09-14 15:00:00,32,49,1007,10,0.0,Sunny
Jammu & Kashmir,2018-09-14 18:00:00,28,55,1008,13,0.0,Clear
Jammu & Kashmir,2018-09-14 21:00:00,24,50,1008,12,0.0,Clear
Jammu & Kashmir,2018-09-15 00:00:00,23,54,1008,12,0.0,Clear
Jammu & Kashmir,2018-09-15 03:00:00,22,56,1008,8,0.0,Clear
Jammu & Kashmir,2018-09-15 06:00:00,24,49,1009,10,0.1,Patchy rain possible
Jammu & Kashmir,2018-09-15 09:00:00,26,41,1011,12,0.0,Cloudy
Jammu & Kashmir,2018-09-15 12:00:00,29,35,1011,16,0.1,Patchy rain possible
Jammu & Kashmir,2018-09-15 15:00:00,26,44,1007,32,9.1,Moderate or heavy rain shower
Jammu & Kashmir,2018-09-15 18:00:00,26,52,1010,18,0.0,Clear
Jammu & Kashmir,2018-09-15 21:00:00,23,49,1010,13,0.0,Clear
Jammu & Kashmir,2018-09-16 00:00:00,20,53,1009,11,0.0,Clear
Jammu & Kashmir,2018-09-16 03:00:00,19,51,1008,14,0.0,Clear
Jammu & Kashmir,2018-09-16 06:00:00,22,44,1009,6,0.0,Sunny
Jammu & Kashmir,2018-09-16 09:00:00,28,32,1010,10,0.0,Sunny
Jammu & Kashmir,2018-09-16 12:00:00,31,29,1008,17,0.0,Sunny
Jammu & Kashmir,2018-09-16 15:00:00,32,40,1007,16,0.0,Sunny
Jammu & Kashmir,2018-09-16 18:00:00,28,39,1007,13,0.0,Clear
Jammu & Kashmir,2018-09-16 21:00:00,24,33,1007,15,0.0,Clear
Jammu & Kashmir,2018-09-17 00:00:00,24,32,1007,14,0.0,Clear
Jammu & Kashmir,2018-09-17 03:00:00,20,33,1006,12,0.0,Clear
Jammu & Kashmir,2018-09-17 06:00:00,22,34,1007,7,0.0,Sunny
Jammu & Kashmir,2018-09-17 09:00:00,29,26,1008,9,0.0,Sunny
Jammu & Kashmir,2018-09-17 12:00:00,31,24,1007,16,0.0,Sunny
Jammu & Kashmir,2018-09-17 15:00:00,33,35,1006,17,0.0,Sunny
Jammu & Kashmir,2018-09-17 18:00:00,29,37,1006,12,0.0,Clear
Jammu & Kashmir,2018-09-17 21:00:00,26,37,1007,13,0.0,Clear
Jammu & Kashmir,2018-09-18 00:00:00,22,36,1007,9,0.0,Clear
Jammu & Kashmir,2018-09-18 03:00:00,21,36,1006,13,0.0,Clear
Jammu & Kashmir,2018-09-18 06:00:00,22,34,1008,6,0.0,Sunny
Jammu & Kashmir,2018-09-18 09:00:00,29,29,1009,9,0.0,Sunny
Jammu & Kashmir,2018-09-18 12:00:00,32,26,1007,15,0.0,Sunny
Jammu & Kashmir,2018-09-18 15:00:00,34,36,1006,16,0.0,Sunny
Jammu & Kashmir,2018-09-18 18:00:00,30,40,1006,11,0.0,Clear
Jammu & Kashmir,2018-09-18 21:00:00,26,41,1007,9,0.0,Clear
Jammu & Kashmir,2018-09-19 00:00:00,23,40,1007,12,0.0,Clear
Jammu & Kashmir,2018-09-19 03:00:00,22,39,1007,10,0.0,Clear
Jammu & Kashmir,2018-09-19 06:00:00,23,34,1008,6,0.0,Sunny
Jammu & Kashmir,2018-09-19 09:00:00,30,27,1009,10,0.0,Sunny
Jammu & Kashmir,2018-09-19 12:00:00,33,26,1007,11,0.0,Sunny
Jammu & Kashmir,2018-09-19 15:00:00,33,36,1005,13,0.0,Sunny
Jammu & Kashmir,2018-09-19 18:00:00,31,40,1005,12,0.0,Clear
Jammu & Kashmir,2018-09-19 21:00:00,27,41,1006,13,0.0,Clear
Jammu & Kashmir,2018-09-20 00:00:00,23,37,1006,10,0.0,Clear
Jammu & Kashmir,2018-09-20 03:00:00,22,36,1006,11,0.0,Clear
Jammu & Kashmir,2018-09-20 06:00:00,24,32,1007,7,0.0,Sunny
Jammu & Kashmir,2018-09-20 09:00:00,30,24,1009,8,0.0,Sunny
Jammu & Kashmir,2018-09-20 12:00:00,34,22,1008,13,0.0,Sunny
Jammu & Kashmir,2018-09-20 15:00:00,34,32,1006,11,0.0,Sunny
Jammu & Kashmir,2018-09-20 18:00:00,31,34,1006,13,0.0,Clear
Jammu & Kashmir,2018-09-20 21:00:00,25,35,1008,13,0.0,Clear
Jammu & Kashmir,2018-09-21 00:00:00,24,36,1009,12,0.0,Clear
Jammu & Kashmir,2018-09-21 03:00:00,23,35,1009,11,0.0,Clear
Jammu & Kashmir,2018-09-21 06:00:00,24,32,1010,7,0.0,Sunny
Jammu & Kashmir,2018-09-21 09:00:00,31,30,1011,11,0.0,Sunny
Jammu & Kashmir,2018-09-21 12:00:00,33,30,1010,16,0.0,Sunny
Jammu & Kashmir,2018-09-21 15:00:00,33,39,1009,10,0.0,Sunny
Jammu & Kashmir,2018-09-21 18:00:00,29,50,1010,12,0.0,Clear
Jammu & Kashmir,2018-09-21 21:00:00,25,51,1011,15,0.0,Clear
Jammu & Kashmir,2018-09-22 00:00:00,23,58,1012,12,0.0,Clear
Jammu & Kashmir,2018-09-22 03:00:00,22,59,1011,10,0.0,Clear
Jammu & Kashmir,2018-09-22 06:00:00,23,56,1013,11,0.9,Moderate rain at times
Jammu & Kashmir,2018-09-22 09:00:00,28,52,1012,12,0.0,Sunny
Jammu & Kashmir,2018-09-22 12:00:00,30,59,1012,22,0.1,Patchy rain possible
Jammu & Kashmir,2018-09-22 15:00:00,28,70,1010,13,0.0,Cloudy
Jammu & Kashmir,2018-09-22 18:00:00,24,90,1011,14,0.0,Clear
Jammu & Kashmir,2018-09-22 21:00:00,22,87,1013,13,0.0,Clear
Jammu & Kashmir,2018-09-23 00:00:00,22,84,1013,15,0.0,Partly cloudy
Jammu & Kashmir,2018-09-23 03:00:00,21,85,1012,21,2.4,Moderate or heavy rain shower
Jammu & Kashmir,2018-09-23 06:00:00,21,90,1012,24,6.7,Moderate or heavy rain shower
Jammu & Kashmir,2018-09-23 09:00:00,22,89,1014,14,4.8,Moderate or heavy rain shower
Jammu & Kashmir,2018-09-23 12:00:00,25,90,1012,20,1.2,Heavy rain at times
Jammu & Kashmir,2018-09-23 15:00:00,24,85,1011,21,3.3,Moderate or heavy rain shower
Jammu & Kashmir,2018-09-23 18:00:00,22,84,1011,20,1.6,Moderate or heavy rain shower
Jammu & Kashmir,2018-09-23 21:00:00,21,84,1012,20,0.2,Patchy rain possible
Jammu & Kashmir,2018-09-24 00:00:00,21,86,1012,19,0.0,Cloudy
Jammu & Kashmir,2018-09-24 03:00:00,20,86,1010,14,1.1,Heavy rain at times
Jammu & Kashmir,2018-09-24 06:00:00,21,78,1011,10,0.0,Overcast
Jammu & Kashmir,2018-09-24 09:00:00,25,62,1010,9,0.0,Cloudy
Jammu & Kashmir,2018-09-24 12:00:00,29,55,1009,11,0.0,Overcast
Jammu & Kashmir,2018-09-24 15:00:00,29,65,1007,8,0.0,Sunny
Jammu & Kashmir,2018-09-24 18:00:00,25,81,1009,14,0.0,Clear
Jammu & Kashmir,2018-09-24 21:00:00,22,85,1010,8,0.0,Clear
