loc,ts,tempC,humidity,pressure,windGustKmph
Assam,2018-09-12 00:00:00,25,95,1007,3
Assam,2018-09-12 03:00:00,24,95,1005,10
Assam,2018-09-12 06:00:00,27,88,1007,10
Assam,2018-09-12 09:00:00,27,88,1007,18
Assam,2018-09-12 12:00:00,29,85,1005,27
Assam,2018-09-12 15:00:00,27,92,1002,8
Assam,2018-09-12 18:00:00,26,94,1005,10
Assam,2018-09-12 21:00:00,25,94,1006,10
Assam,2018-09-13 00:00:00,24,94,1005,16
Assam,2018-09-13 03:00:00,24,94,1004,16
Assam,2018-09-13 06:00:00,27,85,1005,9
Assam,2018-09-13 09:00:00,29,78,1007,25
Assam,2018-09-13 12:00:00,31,77,1005,25
Assam,2018-09-13 15:00:00,27,90,1003,22
Assam,2018-09-13 18:00:00,26,93,1005,9
Assam,2018-09-13 21:00:00,25,93,1007,16
Assam,2018-09-14 00:00:00,25,93,1008,10
Assam,2018-09-14 03:00:00,25,94,1006,4
Assam,2018-09-14 06:00:00,27,85,1007,10
Assam,2018-09-14 09:00:00,29,77,1009,18
Assam,2018-09-14 12:00:00,27,73,1008,17
Assam,2018-09-14 15:00:00,28,85,1005,13
Assam,2018-09-14 18:00:00,26,91,1007,6
Assam,2018-09-14 21:00:00,25,91,1010,8
Assam,2018-09-15 00:00:00,25,92,1010,8
Assam,2018-09-15 03:00:00,25,93,1009,9
Assam,2018-09-15 06:00:00,27,80,1010,12
Assam,2018-09-15 09:00:00,29,66,1009,14
Assam,2018-09-15 12:00:00,31,62,1007,13
Assam,2018-09-15 15:00:00,29,78,1005,11
Assam,2018-09-15 18:00:00,28,81,1007,6
Assam,2018-09-15 21:00:00,27,84,1009,4
Assam,2018-09-16 00:00:00,25,86,1008,2
Assam,2018-09-16 03:00:00,25,87,1007,4
Assam,2018-09-16 06:00:00,28,69,1009,4
Assam,2018-09-16 09:00:00,32,57,1006,12
Assam,2018-09-16 12:00:00,33,56,1004,12
Assam,2018-09-16 15:00:00,30,74,1002,11
Assam,2018-09-16 18:00:00,29,81,1004,7
Assam,2018-09-16 21:00:00,28,83,1006,8
